Lab #,#/flatsat,Part Number,Description, Cost/ea ,V(in),Comments,Link
x equipment,,9129B,power supply,$845 ,,triple output programmable DC power supply,https://www.digikey.com/en/products/detail/b&k-precision/9129B/5519444
x equipment,,MC6C,li-ion charger,17.99,,6 bay li-ion battery charger,https://www.18650batterystore.com/collections/18650-battery-charger/products/xtar-mc6c
x equipment,,3782-36-02,test leads,17.59,,banana to grabber test leads,https://www.digikey.com/en/products/detail/pomona-electronics/3782-36-02/736657
x equipment,,,soldering iron,,,,
x equipment,,,solder,,,,
x equipment,,,screwdriver,,,#1 phillips,
x equipment,,,side cutters,,,small wire cutters for removing solder leads,
x equipment,,,mini USB cable,,,,
x equipment,,,micro USB cable,,,,
x equipment,3,prt-00116,straight headers,1.75,,https://www.sparkfun.com/products/116,
